Adam Abrahám
Adolf Adam
Adrián Adamec
Alan Achberger
Albert Andráš
Albín Andrašík
Aleš Andrášik
Alex Antal
Alexander Babjak
Alexej Babka
Alfonz Bača
Alfréd Bahna
Alojz Bahno
Ambróz Baláž
Andrej Bán
Anton Baňa
Ariel Baňas
Arnold Baňo
Áron Baran
Arpád Baranka
Atila Barbora
Augustín Barok
Aurel Bárta
Bartolomej Bartoš
Belo Bartošík
Beňadik Bartovič
Benedikt Baša
Benjamín Baška
Bernard Baško
Blahoslav Bašo
Blažej Bednár
Bohdan Bednárik
Bohumil Beka
Bohumír Beňa
Bohuslav Beňo
Bohuš Beňuš
Boleslav Beňuška
Bonifác Bernard
Boris Bernolák
Branislav Bezák
Bruno Bicek
Bystrík Bielik
Ctibor Bilek
Cyprián Bilka
Cyril Bilko
Dalibor Blaha
Daniel Blaho
Dávid Blažej
Demeter Bobula
Denis Bobuľa
Dezider Bondra
Dionýz Borek
Dobroslav Borík
Dominik Bórik
Drahomír Borik
Drahoslav Boris
Dušan Boriš
Eder Borka
Edmund Borko
Eduard Borovský
Eliáš Borový
Emanuel Bosák
Emil Boška
Erik Bošňák
Ernest Bôrik
Ervín Brezina
Eugen Brunovský
Fedor Bruška
Félix Bruško
Ferdinand Bukovský
Filip Capek
Florián Capka
František Capko
Frederik Centek
Fridrich Cesnak
Gabriel Cibula
Gašpar Cibuľa
Gejza Cibulka
Gregor Cibuľka
Gustáv Cigán
Henrich Cigáň
Herbert Cigánik
Hubert Cíger
Hugo Cyprich
Ignác Čapka
Igor Čapko
Iľja Čapkovič
Imrich Čapla
Ivan Čapľa
Izidor Čaplovič
Jakub Čarnogurský
Ján Čekovský
Jarolím Černík
Jaromír Černoch
Jaroslav Červeň
Jerguš Červený
Jerry Česnek
Jonáš Čiernik
Jozef Čierny
Július Čobrda
Juraj Ďaďo
Kamil Dán
Karol Daňa
Kazimír Dancák
Klement Dančák
Kliment Dančiak
Koloman Danek
Konštantín Danko
Kornel Daňko
Kristián Dano
Krištof Daňo
Kvetoslav Dávid
Ladislav Deák
Leonard Debnár
Leopold Dej
Levoslav Dekýš
Libor Devečka
Ľubomír Dobšinský
Ľubor Dočolomanský
Ľuboslav Doležal
Ľuboš Dora
Ludolf Dorka
Ľudomil Dorko
Ľudovít Ďorko
Lukáš Dorot
Marcel Dorota
Marek Drajna
Marián Drobný
Mário Droppa
Maroš Drotár
Martin Dubnička
Matej Dubovský
Matúš Duda
Maximilián Dudek
Medard Dudik
Melichar Dudík
Metod Dudka
Michal Dudko
Mikuláš Dudo
Milan Dudok
Miloslav Dula
Miloš Dulla
Miroslav Ďurča
Mojmír Ďurčo
Móric Durdík
Nathan Ďurek
Nikola Ďurica
Norbert Ďuriš
Odin Ďurka
Oldrich Ďurko
Oliver Ďurkovič
Ondrej Ďurkovský
Oskár Ďuro
Oto Ďurovič
Pankrác Ďurovský
Paolo Dusík
Patrik Duska
Pavol Dusko
Peter Duša
Pravoslav Dušek
Prokop Dušička
Radomír Duška
Radoslav Dúška
Radovan Duško
Radúz Ďuško
Rastislav Dutka
René Ďutka
Richard Dutko
Rishi Dvonč
Róbert Dvorský
Roland Dzurjanin
Roman Fabian
Rudolf Fabián
Samuel Fabuš
Sebastián Fajnor
Sergej Farkašovský
Servác Fašiang
Seth Fedor
Severín Feldek
Silvester Fico
Slavomír Filc
Stanislav Filip
Svätopluk Filipek
Svetozár Filípek
Šimon Filipko
Štefan Finka
Tadeáš Fogaš
Tarzícius Forgáč
Teodor Fraňa
Tibor Franek
Tichomír Franka
Timotej Franko
Tobiáš Frano
Tomáš Fraňo
Urban Frimer
Václav Ftáčnik
Valentín Ftorek
Valér Gál
Vasil Galik
